#DBH in Control Plots (WITH Rubus niveus)
Plot	Tree	DBH_cm 	Height_cm
6	100	0	0
6	6	8.91	500
7	4	13.05	500
8	15	12.73	550
8	4	13.69	550
10	14	7.32	600
8	11	14.80	600
3	7	7.80	650
13	10	9.23	650
13	4	11.62	650
1	20	12.10	650
13	2	12.10	650
13	5	12.73	650
11	3	13.69	650
13	13	14.64	650
1	13	15.92	650
9	12	15.92	650
16	4	16.87	650
11	9	19.10	650
13	12	10.03	700
5	4	10.35	700
13	8	10.35	700
13	14	10.35	700
3	2	10.50	700
13	11	10.82	700
13	6	12.73	700
10	17	12.89	700
11	7	13.53	700
11	10	14.01	700
1	14	15.92	700
9	6	15.92	700
12	1	16.23	700
14	7	16.55	700
11	8	17.51	700
14	8	19.58	700
9	13	10.50	750
15	2	11.14	750
13	7	12.41	750
9	3	12.73	750
12	6	14.64	750
14	2	14.64	750
17	3	14.64	750
1	3	15.28	750
15	1	17.03	750
13	1	17.19	750
14	9	17.35	750
1	17	18.46	750
1	18	19.10	750
11	5	19.42	750
14	4	19.74	750
14	3	21.01	750
15	3	22.92	750
14	6	25.15	750
15	5	28.01	750
3	9	11.46	800
9	4	12.10	800
10	4	12.10	800
5	7	13.69	800
1	5	14.16	800
5	8	14.96	800
5	2	16.55	800
8	1	17.19	800
12	9	17.67	800
12	10	21.33	800
9	14	8.59	850
1	11	14.16	850
4	11	14.16	850
4	12	14.16	850
1	8	20.69	850
3	1	22.60	850
