#Scalesia DBH-Height Treatment plots (NO rUBUS NIVEUS)
Plot	Tree	DBH_cm	Height_cm
6	100	0	0
7	21	7.64	500
4	2	17.19	550
6	7	8.59	600
15	3	8.91	600
5	1	16.39	600
5	11	18.46	600
3	1	11.46	650
15	1	11.62	650
5	21	13.37	650
4	5	13.69	650
4	11	13.69	650
5	3	14.01	650
5	2	14.16	650
4	7	14.64	650
14	1	14.96	650
16	1	14.96	650
5	12	15.44	650
3	4	16.39	650
6	6	16.39	650
15	2	16.39	650
16	9	16.71	650
5	4	16.87	650
2	1	17.51	650
16	6	17.51	650
4	9	19.42	650
3	3	20.53	650
5	13	20.85	650
6	3	23.71	650
17	17	7.96	700
9	1	11.46	700
6	17	11.78	700
17	2	12.10	700
17	4	13.37	700
9	4	14.01	700
7	3	14.64	700
4	10	14.80	700
9	16	16.07	700
4	1	17.83	700
4	12	18.14	700
5	6	19.42	700
5	15	20.21	700
15	7	20.21	700
16	4	20.21	700
6	8	24.19	700
17	36	7.32	750
17	26	7.48	750
13	2	10.35	750
17	18	10.35	750
17	16	10.50	750
17	9	10.66	750
10	6	11.14	750
17	30	11.46	750
17	11	12.10	750
17	10	12.41	750
7	4	12.89	750
9	13	13.37	750
17	6	13.37	750
17	24	14.32	750
5	18	14.64	750
7	10	15.60	750
9	7	15.60	750
13	9	15.60	750
17	21	15.76	750
7	2	16.55	750
13	15	16.71	750
9	3	17.67	750
9	9	17.83	750
17	28	17.83	750
14	15	19.42	750
17	1	19.74	750
16	8	22.28	750
9	14	22.76	750
5	17	25.31	750
16	3	28.65	750
1	11	10.82	800
13	5	12.89	800
10	13	13.05	800
10	5	13.37	800
13	16	13.53	800
5	8	13.69	800
10	7	14.80	800
13	8	14.80	800
1	12	14.96	800
13	20	14.96	800
1	10	15.60	800
1	5	15.76	800
12	3	15.92	800
8	2	16.07	800
13	3	16.07	800
13	6	16.23	800
14	5	16.23	800
11	10	16.87	800
10	17	17.19	800
8	4	17.35	800
8	3	17.51	800
1	1	19.42	800
17	15	19.42	800
13	14	20.05	800
7	1	20.21	800
13	4	20.69	800
13	12	21.17	800
14	4	21.33	800
14	13	21.80	800
6	15	12.73	850
6	12	15.60	850
10	19	17.51	850
10	1	17.83	850
14	6	18.46	850
10	2	20.69	850
10	15	21.65	850
1	2	26.90	850
11	1	10.66	900
11	4	15.92	900
6	16	17.35	900
10	10	24.99	900
11	15	14.32	1000
11	2	16.71	1000
11	3	18.14	1000
12	2	18.46	1000
11	16	18.94	1000
12	5	18.94	1000
11	12	19.42	1000
12	4	19.42	1000
12	6	21.33	1000
11	14	27.53	1050
