#DBH (cm) of Scalesia trees in permanent plots at Los Gemelos, Reference Area (RUBUS CONTROL, invaded by blackberry) 2014-19									
#DBH at 1.3 m in cm, NA means the tree died							

Plot	tree	Feb14	Sep14	Feb15	Aug15	Feb16	Feb17	Feb18	Mar19	Mar20	Mar21
1	1	11.14	11.14	11.46	11.78	11.94	NA	NA	NA	NA	NA
1	2	10.19	10.35	10.35	11.14	11.14	NA	NA	NA	NA	NA
1	3	10.82	11.46	11.46	12.41	12.73	13.53	14.01	14.64	15.28	15.60
1	4	13.37	13.37	13.37	14.32	14.64	NA	NA	NA	NA	NA
1	5	9.71	9.87	10.03	11.14	11.30	12.41	12.73	13.37	14.16	14.96
1	6	10.19	10.19	10.50	NA	NA	NA	NA	NA	NA	NA
1	7	14.64	15.12	15.92	16.23	16.23	16.55	NA	NA	NA	NA
1	8	17.19	17.35	17.51	18.46	18.62	19.42	19.58	20.05	20.69	21.17
1	9	7.64	7.96	8.12	8.12	8.12	8.28	8.28	NA	NA	NA
1	10	15.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	11	10.82	10.98	11.46	11.78	12.57	13.05	13.37	13.69	14.16	15.44
1	12	8.91	8.91	NA	NA	NA	NA	NA	NA	NA	NA
1	13	11.78	12.10	12.41	13.37	13.53	14.16	14.48	14.96	15.92	17.51
1	14	11.78	12.10	12.57	14.16	13.53	12.73	14.80	15.76	15.92	NA
1	15	7.32	7.32	7.64	7.64	NA	NA	NA	NA	NA	NA
1	16	10.66	10.82	11.14	11.30	11.14	NA	NA	NA	NA	NA
1	17	15.28	15.28	15.92	16.87	17.03	17.19	17.83	18.14	18.46	19.10
1	18	14.32	14.48	14.80	15.92	16.23	16.55	17.19	18.14	19.10	NA
1	19	9.71	10.19	10.19	10.03	10.03	10.50	10.50	10.66	NA	NA
1	20	9.71	10.35	10.35	10.82	10.98	11.62	11.78	11.94	12.10	NA
1	21	14.01	14.32	14.64	16.23	16.23	17.19	NA	NA	NA	NA
2	1	28.65	29.28	29.28	29.92	32.79	NA	NA	NA	NA	NA
2	2	12.73	13.05	13.37	13.37	13.53	NA	NA	NA	NA	NA
2	3	11.14	11.46	11.94	12.73	13.05	NA	NA	NA	NA	NA
2	4	8.59	8.75	8.91	9.23	9.23	NA	NA	NA	NA	NA
2	5	15.28	15.60	15.92	16.55	16.71	16.71	NA	NA	NA	NA
2	6	10.82	11.14	11.78	NA	NA	NA	NA	NA	NA	NA
2	7	9.55	9.87	9.87	10.35	NA	NA	NA	NA	NA	NA
2	8	14.01	14.32	14.64	14.96	15.12	15.60	NA	NA	NA	NA
2	9	14.01	14.16	14.32	14.96	NA	NA	NA	NA	NA	NA
2	10	10.19	11.14	11.30	11.14	11.14	11.14	NA	NA	NA	NA
2	11	12.57	12.57	12.57	NA	NA	NA	NA	NA	NA	NA
2	12	8.59	2.07	NA	NA	NA	NA	NA	NA	NA	NA
2	13	10.19	2.55	NA	NA	NA	NA	NA	NA	NA	NA
2	14	22.28	23.24	23.87	24.51	25.15	25.46	26.10	26.58	NA	NA
3	1	19.74	19.89	20.37	21.01	21.80	21.96	22.12	22.44	22.60	22.92
3	2	4.46	4.93	4.93	6.21	6.37	7.48	8.12	9.87	10.50	12.10
3	3	11.94	12.10	12.10	NA	NA	NA	NA	NA	NA	NA
3	4	9.87	9.71	9.55	NA	NA	NA	NA	NA	NA	NA
3	5	16.23	16.55	16.87	NA	NA	NA	NA	NA	NA	NA
3	6	14.32	15.60	15.60	15.92	15.44	NA	NA	NA	NA	NA
3	7	3.66	4.93	5.25	5.89	5.89	6.53	7.00	7.48	7.80	8.59
3	8	6.05	6.05	6.21	7.64	8.44	8.28	9.07	9.71	NA	NA
3	9	5.09	5.09	5.57	6.84	7.32	8.12	8.75	9.87	11.46	12.73
4	1	17.19	17.03	NA	NA	NA	NA	NA	NA	NA	NA
4	2	19.89	19.89	19.89	NA	NA	NA	NA	NA	NA	NA
4	3	13.85	14.32	14.48	14.64	14.64	15.12	15.12	NA	NA	NA
4	4	6.21	6.37	6.53	NA	NA	NA	NA	NA	NA	NA
4	5	5.41	5.57	5.57	0.00	0.00	NA	NA	NA	NA	NA
4	6	6.53	7.16	7.32	NA	NA	NA	NA	NA	NA	NA
4	7	5.41	5.73	5.73	NA	NA	NA	NA	NA	NA	NA
4	8	20.85	21.17	21.33	21.96	24.51	21.65	NA	NA	NA	NA
4	9	5.89	6.05	6.05	NA	NA	NA	NA	NA	NA	NA
4	10	6.68	6.84	7.00	7.16	NA	NA	NA	NA	NA	NA
4	11	9.39	10.03	10.03	10.98	11.30	11.78	12.57	13.21	14.16	15.60
4	12	8.59	9.39	9.39	10.19	10.50	11.46	12.25	12.89	14.16	14.96
5	1	13.37	13.53	NA	NA	NA	NA	NA	NA	NA	NA
5	2	13.05	13.85	14.32	14.64	14.48	15.60	15.92	16.39	16.55	NA
5	3	9.55	10.19	10.35	10.19	NA	NA	NA	NA	NA	NA
5	4	6.68	7.16	7.16	7.96	7.96	8.44	8.91	9.55	10.35	10.82
5	5	12.25	13.37	13.69	13.85	13.85	14.32	14.96	15.12	NA	NA
5	6	7.48	7.64	8.28	8.91	9.07	9.23	9.55	9.71	NA	NA
5	7	8.28	9.23	9.23	10.50	10.50	11.14	11.62	11.94	13.69	14.48
5	8	12.41	12.73	13.05	13.85	13.85	14.32	14.80	14.80	14.96	NA
5	9	12.73	12.89	NA	NA	NA	NA	NA	NA	NA	NA
6	1	16.39	16.71	16.87	17.51	18.14	NA	NA	NA	NA	NA
6	2	16.23	16.55	16.39	NA	NA	NA	NA	NA	NA	NA
6	3	10.98	11.14	10.98	NA	NA	NA	NA	NA	NA	NA
6	4	13.53	14.01	14.01	14.32	NA	NA	NA	NA	NA	NA
6	5	14.32	14.48	NA	NA	NA	NA	NA	NA	NA	NA
6	6	4.14	4.77	4.77	5.57	6.05	7.00	7.32	8.28	8.91	12.10
6	7	6.68	7.00	7.16	7.32	7.32	7.64	NA	NA	NA	NA
6	8	5.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	9	12.89	13.05	13.05	13.05	NA	NA	NA	NA	NA	NA
6	10	12.89	NA	NA	NA	NA	NA	NA	NA	NA	NA
