#DBH of Scalesia trees in permanent plots at Los Gemelos, TREATMENT Area (blackberry control) 2014-19									
#NOTE: Data from Feb 2014 is from before control, September 2014 after control									
#DBH in cm at 1.3m, NA means tree died	

Plot	tree	Feb14	Sep14	Feb15	Aug15	Feb16	Feb17	Feb18	Mar19	Mar20	Mar21
1	1	14.01	14.48	15.28	15.60	16.23	17.19	18.14	18.78	19.42	NA
1	2	18.62	19.42	19.89	21.01	21.80	22.92	24.03	24.99	26.90	NA
1	3	13.37	14.64	NA	NA	NA	NA	NA	NA	NA	NA
1	4	8.91	10.03	10.03	10.19	9.87	NA	NA	NA	NA	NA
1	5	9.71	10.82	11.14	12.41	12.57	13.21	14.16	14.96	15.76	15.92
1	6	13.37	13.85	14.16	14.96	15.60	16.39	17.51	18.14	NA	NA
1	7	5.89	6.37	6.37	6.53	6.37	NA	NA	NA	NA	NA
1	8	7.96	8.59	8.75	9.55	9.55	NA	NA	NA	NA	NA
1	9	12.73	13.37	13.69	14.80	15.76	16.23	16.87	NA	NA	NA
1	10	9.39	9.71	10.50	11.46	11.78	12.57	13.69	14.32	15.60	15.92
1	11	6.21	7.80	8.59	9.23	9.87	10.35	10.50	10.82	10.82	10.82
1	12	9.07	10.19	10.50	11.62	12.10	12.57	13.21	13.85	14.96	14.80
1	13	7.16	7.48	7.80	7.64	7.80	8.44	9.23	NA	NA	NA
1	14	11.78	12.41	12.57	12.73	12.89	NA	NA	NA	NA	NA
1	15	7.64	7.96	8.28	8.91	8.59	NA	NA	NA	NA	NA
2	1	11.78	12.57	14.01	14.80	15.28	15.60	15.76	16.07	17.51	NA
2	2	15.76	16.39	16.55	17.67	17.67	17.67	NA	NA	NA	NA
2	3	11.62	12.57	12.73	14.01	14.80	15.12	15.44	15.92	NA	NA
3	1	7.48	7.96	8.28	9.23	9.39	10.03	10.66	10.98	11.46	11.78
3	2	11.14	11.78	12.25	13.37	14.01	14.48	14.96	15.28	NA	NA
3	3	17.51	17.98	18.14	18.94	19.42	19.58	19.89	20.21	20.53	20.37
3	4	14.32	15.12	15.28	15.60	15.76	15.92	15.92	16.23	16.39	16.55
4	1	13.21	13.85	14.32	14.48	15.44	16.23	16.87	17.67	17.83	NA
4	2	12.25	12.25	12.73	14.48	14.64	16.07	16.55	16.71	17.19	NA
4	3	7.16	7.16	NA	NA	NA	NA	NA	NA	NA	NA
4	4	11.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	5	10.66	11.30	11.78	12.41	12.73	12.89	13.21	13.21	13.69	13.37
4	6	7.48	7.96	8.28	8.44	8.44	8.91	8.91	NA	NA	NA
4	7	10.82	10.98	11.30	12.73	13.37	14.16	14.32	14.48	14.64	14.96
4	8	9.55	10.35	10.35	10.50	10.82	11.14	11.14	NA	NA	NA
4	9	15.12	15.28	15.60	15.92	16.23	17.19	18.62	19.10	19.42	19.10
4	10	7.64	8.91	9.23	10.82	11.46	12.73	14.01	14.16	14.80	14.96
4	11	10.50	11.14	11.46	12.57	12.73	13.05	13.53	13.53	13.69	NA
4	12	10.03	10.50	11.46	12.89	14.64	16.87	17.19	17.83	18.14	20.05
4	13	9.23	10.03	10.19	10.50	10.98	11.30	11.78	NA	NA	NA
4	14	5.89	6.37	6.53	7.32	7.32	NA	NA	NA	NA	NA
4	15	23.40	23.87	24.19	24.83	24.51	NA	NA	NA	NA	NA
5	1	9.71	10.19	10.98	12.10	12.73	13.37	14.64	15.44	16.39	17.03
5	2	8.44	8.59	8.91	9.39	10.19	10.19	10.50	10.50	14.16	10.98
5	3	7.32	7.96	9.87	10.19	11.30	12.41	13.21	13.69	14.01	14.96
5	4	11.78	11.94	12.41	12.57	14.64	15.28	16.23	16.55	16.87	11.62
5	5	9.07	8.91	8.59	NA	NA	NA	NA	NA	NA	NA
5	6	7.96	8.91	9.87	11.46	13.21	14.48	15.92	17.51	19.42	20.85
5	7	15.76	15.92	15.92	NA	NA	NA	NA	NA	NA	NA
5	8	9.55	10.82	10.98	11.14	12.10	12.73	12.73	13.37	13.69	13.69
5	9	8.91	9.39	9.55	9.87	10.19	10.82	11.30	11.62	NA	NA
5	10	14.32	15.12	15.28	15.60	16.39	16.55	16.87	16.87	NA	17.67
5	11	12.89	13.05	13.21	13.37	13.69	14.32	15.28	15.92	18.46	18.46
5	12	11.30	12.57	13.05	13.37	13.37	13.85	13.85	14.01	15.44	15.12
5	13	14.32	14.80	15.28	15.92	17.83	19.10	19.74	20.21	20.85	21.33
5	14	9.39	9.55	9.55	9.55	NA	NA	NA	NA	NA	NA
5	15	16.23	16.87	17.35	17.83	18.78	19.10	19.58	19.58	20.21	21.17
5	16	4.62	4.77	4.93	NA	NA	NA	NA	NA	NA	NA
5	17	18.14	18.78	19.89	20.37	21.65	23.40	24.51	25.31	25.31	24.83
5	18	10.19	10.35	11.14	11.78	12.73	13.85	13.85	14.01	14.64	15.76
5	19	5.25	5.73	5.89	6.05	6.37	6.37	6.37	NA	NA	NA
5	20	4.62	4.62	5.09	5.25	NA	NA	NA	NA	NA	NA
5	21	7.80	8.44	10.03	10.03	10.82	11.78	12.10	13.21	13.37	15.28
5	22	12.41	13.05	13.53	14.48	15.44	15.92	16.55	NA	NA	NA
6	1	11.46	11.62	11.78	11.78	12.10	13.05	13.69	14.01	NA	NA
6	2	9.71	9.87	10.03	10.66	10.82	11.78	12.57	15.28	NA	NA
6	3	17.83	18.62	18.78	19.89	20.53	21.33	21.96	22.28	23.71	NA
6	4	10.50	10.66	10.66	10.50	NA	NA	NA	NA	NA	NA
6	5	7.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	6	11.46	11.94	12.41	13.05	13.21	14.80	15.28	16.07	16.39	NA
6	7	6.53	6.68	6.84	7.64	7.48	7.64	8.12	8.28	8.59	NA
6	8	18.62	19.74	20.05	20.53	21.01	21.96	23.40	24.03	24.19	23.71
6	9	8.59	9.23	9.39	9.55	10.03	10.50	10.50	10.66	NA	NA
6	10	7.80	7.96	7.96	8.44	8.28	8.91	9.39	NA	NA	NA
6	11	8.44	8.75	8.75	8.91	8.91	8.91	9.23	NA	NA	NA
6	12	9.55	10.03	9.87	10.82	11.46	12.10	12.57	13.85	15.60	16.39
6	13	5.57	6.05	6.05	6.21	6.05	NA	NA	NA	NA	NA
6	14	7.80	7.96	7.64	NA	NA	NA	NA	NA	NA	NA
6	15	7.32	7.48	8.12	8.59	9.23	10.19	11.46	12.41	12.73	11.94
6	16	10.66	11.14	11.30	12.41	12.57	14.16	14.80	14.96	17.35	NA
6	17	8.91	9.07	9.55	10.19	10.50	10.66	10.82	11.46	11.78	NA
7	1	13.85	14.32	14.96	15.92	17.51	17.67	18.46	18.78	20.21	NA
7	2	8.75	10.03	10.50	11.46	12.25	13.53	15.12	15.92	16.55	17.19
7	3	8.59	9.71	9.55	10.03	10.82	11.78	11.94	14.32	14.64	13.05
7	4	8.91	9.71	9.71	10.82	10.98	11.46	12.10	12.41	12.89	NA
7	5	8.59	8.59	8.75	8.59	NA	NA	NA	NA	NA	NA
7	6	5.73	6.53	6.68	7.00	7.32	7.64	7.64	NA	NA	NA
7	7	10.35	10.82	11.14	11.94	12.57	14.01	14.16	NA	NA	NA
7	8	12.10	12.57	12.57	12.73	12.89	13.21	NA	NA	NA	NA
7	9	8.59	9.39	9.23	9.71	10.19	10.19	NA	NA	NA	NA
7	10	9.55	10.66	10.66	11.62	12.10	13.05	13.53	14.32	15.60	15.92
7	11	15.28	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	12	16.55	17.19	17.35	18.14	18.78	19.58	NA	NA	NA	NA
7	13	13.69	16.07	19.10	19.42	NA	NA	NA	NA	NA	NA
7	14	6.37	10.19	10.50	10.66	11.46	11.46	11.46	NA	NA	NA
7	15	8.59	8.59	9.07	8.91	9.23	NA	NA	NA	NA	NA
7	16	10.03	10.66	10.82	12.25	14.01	14.01	NA	NA	NA	NA
7	17	7.96	7.96	7.96	8.44	8.59	8.59	NA	NA	NA	NA
7	18	7.48	7.80	7.80	8.28	8.59	9.07	NA	NA	NA	NA
7	19	8.75	8.91	9.39	11.14	12.10	15.12	15.60	NA	NA	NA
7	20	8.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	21	4.30	4.62	4.77	5.25	5.25	5.57	6.21	6.84	7.64	8.75
8	1	19.10	20.05	20.37	21.01	21.49	NA	NA	NA	NA	NA
